air_pressure_9am	air_temp_9am	avg_wind_direction_9am	avg_wind_speed_9am	max_wind_direction_9am	max_wind_speed_9am	relative_humidity_9am	rain_accumulation_9am	rain_duration_9am	relative_humidity_3pm
917.9	65.66	183.7	6.0621074	188.5	6.5094954	74.22	0.021	319	69.19
916.05	87.188	210	1.565858	109.3	2.5948504	12.88	0	0	14.83
920.23	67.316	153.2	1.230317	136.9	2.0803542	13.89	0	0	20.52
923.6636768	69.03107042	64.68990787	7.55777528	73.04923224	8.819354482	14.69250133	0	0	17.88774436
921.9	65.876	199	4.4962494	207.2	5.3239172	10.35	0	0	15.37
918.58	76.982	150.7	1.3197946	182	1.9461378	15.54	0	0	29.09
922.36	74.336	166.9	4.1830778	210	6.9121446	12.48	0	0	12.71
922.928409	68.92146556	54.66611121	9.7874074	82.62134109	13.33468856	8.082800654	0	0	7.187360985
923.01855	70.33053243	152.5635421	3.059696039	181.27478	4.269037625	22.85968417	0	0	18.79464702
916.42	45.014	82.8	3.0646078	129.8	4.809421	57.71	8.74	7000	41.8
922.57	45.626	182.8	5.2120702	191.4	6.0173686	85.71	0	0	80.23
920.03	66.992	172.5	2.460634	168.1	3.3106712	29.89	0	0	39.95
919.09	76.766	166.2	1.2974252	199	1.8119214	19.74	0	0	23.29
916.18	61.304	173.6	1.7224438	209.4	2.5277422	78.78	0	0	62.25
917.8	73.778	181.9	0.9395148	185.3	1.5434886	11.48	0	0	18.49
918.54	46.652	213.6	16.4862478	221.2	18.0297364	91.36	0.08	1153	89.93
918.24	61.988	78.4	4.4515106	45.1	5.8384134	60.65	0	0	41.24
917.02	53.258	180.2	3.131716	216.6	4.4515106	25.09	0	0	28.43
919.41	78.314	183.7	3.7580592	42.7	5.3910254	29.71	0	0	23.11
921.29	83.228	162.6	2.6619586	194	3.5567346	16.5	0	0	18.32
922.06	61.754	56.2	10.4241404	77	13.42164	17.7	0	0	14.79
925.5882714	66.35298837	56.06405656	17.52793246	67.93988014	20.97118326	14.4246214	0	0	11.43602921
917.58	69.368	180.7	6.9568834	191.7	8.6345884	28.63	0	0	37.82
922.2062329	57.03648251	48.36270145	12.38532935	64.90532836	15.78933106	14.9694299	0	0	21.98746067
917.7625807	82.06433413	110.2578524	2.234508146	129.7798795	3.206254488	16.57866197	0	0	19.13732393
925.0971257	57.13349912	52.96893276	14.61830695	69.00705655	19.21431385	18.64230606	0	1.540448294	18.06422562
920.7428234	74.51537627	51.42271867	13.87609399	66.85476324	16.98617834	9.406636211	0.01	75.86295265	8.283812813
916.75	54.572	233.5	1.5211192	231.8	2.2816788	89.84	0	0	54.5
922.79	53.978	182.6	1.8566602	208.2	2.6395892	17.39	0.02	180	39.19
920.1	53.492	186.1	13.4440094	193.8	15.3677778	31.47	0	0	64.88
922.0704549	76.74220082	165.7364076	3.771458562	205.6703539	6.004160988	13.56782358	0	0	14.22808216
921.61	38.138	46.6	4.5186188	59.6	5.5252418	29.8	0	0	16.4
916.22	68.252	183.1	9.9320136	190.8	11.1623306	24.66	0	0	40.47
915.57	61.34	174.3	4.8988986	180.6	5.5028724	13.89	0	0	56.96
916.8	65.444	164.4	3.5567346	196.6	4.7199434	21.61	0	0	28.39
917.46	58.298	182.3	5.9055216	190.3	6.934514	25.76	0	0	41.47
925.74	49.55	154.2	2.3264176	197.1	3.4001488	69.78	0	0	52.05
917.67	43.862	192.9	5.8384134	206.4	7.270055	85.18	0	0	20.71
920.93	63.824	196.4	7.6503348	204	8.5674802	20.63	0	0	26.89
916.82	50.288	73.7	2.684328	90.4	3.4225182	58.73	0.47	1030	63.44
917.2683056	85.66162976	266.4934619	2.158058057	194.7025114	2.829140057	31.21856628	0.031174102	70.52665037	23.40857794
921.39	76.082	225.1	1.901399	251.1	2.572481	47.52	0.04	300	19.94
915.9144357	69.38887311	46.73617058	10.97695077	64.64468233	14.29761714	8.498335363	0	9.397156951	12.69854598
919	68.162	98.6	1.7224438	126.4	2.3040482	34.63	0	0	55.07
918.8846912	72.89987778	163.5151929	1.026577543	196.1572631	1.482193818	18.91876489	0	0	20.27354026
915.32	83.84	219.9	1.5211192	245	2.0579848	17.49	0	0	42.22
918.8503361	74.08463941	69.44844917	3.416405485	103.0589152	4.748526322	11.07931552	0	0	16.47832778
921.4081299	47.97039461	46.31142851	10.99845315	67.23285724	14.38541279	22.14770138	0	0	21.86553243
913.3	79.376	52.2	3.2211936	37.4	4.0936002	13.07	0	0	26.93
927.61	54.896	55	4.9883762	53.4	7.2029468	13.51	0	0	14.05
921.8744784	68.09384795	70.90865373	2.14658555	96.09530367	2.891294671	12.47944521	0	0	19.57991484
921.54	43.16	52.5	23.5549782	68	29.8407796	19.38	0.05	100	18.38
916.52	51.638	190.8	7.4042714	198	8.388525	91.69	0.37	2170	78.51
921.39	46.67	46	1.7000744	72.7	2.2145706	38.09	0	0	35.18
918.9	77.558	212	1.1855782	154.1	1.8342908	62.1	0	0	56.93
